,year,number,add_number,remove_number
0,1959,15,0,0
1,1960,51,41,5
2,1961,169,137,19
3,1962,390,274,53
4,1963,443,188,135
5,1964,593,240,90
6,1965,970,492,115
7,1966,1430,728,268
8,1967,1536,444,338
9,1968,1734,502,304
10,1969,2061,638,311
11,1970,2242,529,348
12,1971,2831,872,283
13,1972,2964,534,401
14,1973,3174,599,389
15,1974,3293,582,463
16,1975,3743,855,405
17,1976,4177,869,435
18,1977,4637,888,428
19,1978,4760,642,519
20,1979,4676,546,630
21,1980,4661,691,706
22,1981,4890,872,643
23,1982,5010,752,632
24,1983,5273,799,536
25,1984,5550,811,534
26,1985,6165,1193,578
27,1986,6724,1077,518
28,1987,7287,1145,582
29,1988,7517,875,645
30,1989,7176,628,969
31,1990,6805,660,1031
32,1991,7089,853,569
33,1992,7038,559,610
34,1993,7323,735,450
35,1994,7371,378,330
36,1995,7452,295,214
37,1996,8098,887,241
38,1997,8318,474,254
39,1998,8339,465,444
40,1999,8463,506,382
41,2000,8631,609,441
42,2001,8613,403,421
43,2002,8759,571,425
44,2003,8706,481,534
45,2004,8830,445,321
46,2005,8960,400,270
47,2006,9451,740,249
48,2007,11793,2688,346
49,2008,12659,1108,242
50,2009,14539,2659,779
51,2010,15321,1127,345
52,2011,15645,796,472
53,2012,15922,1033,756
54,2013,15821,474,575
55,2014,16106,884,599
56,2015,16314,954,746
57,2016,16439,736,611
58,2017,17315,1232,356
59,2018,18429,1420,306
60,2019,19292,1292,429
61,2020,21229,2480,543
62,2021,24123,18404,15510
63,2022,26885,21170,18408
