,year,number,add_number,remove_number
0,1959,15,0,0
1,1960,51,41,5
2,1961,169,137,19
3,1962,389,273,53
4,1963,443,188,134
5,1964,593,240,90
6,1965,970,492,115
7,1966,1430,728,268
8,1967,1536,444,338
9,1968,1733,501,304
10,1969,2061,638,310
11,1970,2241,528,348
12,1971,2831,872,282
13,1972,1815,435,1451
14,1973,3100,1675,390
15,1974,3291,651,460
16,1975,3738,852,405
17,1976,4173,868,433
18,1977,4637,891,427
19,1978,4760,642,519
20,1979,4676,546,630
21,1980,4639,690,727
22,1981,4890,893,642
23,1982,5009,751,632
24,1983,5272,798,535
25,1984,5550,812,534
26,1985,6164,1192,578
27,1986,6712,1067,519
28,1987,7240,1139,611
29,1988,7141,836,935
30,1989,7159,990,972
31,1990,6786,665,1038
32,1991,7057,850,579
33,1992,6991,551,617
34,1993,7277,751,465
35,1994,7302,398,373
36,1995,7452,364,214
37,1996,8098,887,241
38,1997,8318,474,254
39,1998,8339,465,444
40,1999,8463,506,382
41,2000,8628,606,441
42,2001,8609,399,418
43,2002,8756,570,423
44,2003,8704,480,532
45,2004,8781,397,320
46,2005,16714,8085,152
47,2006,12290,2667,7091
48,2007,13032,976,234
49,2008,15457,2633,208
50,2009,15713,1106,850
51,2010,16106,772,379
52,2011,16711,1012,407
53,2012,16443,399,667
54,2013,17144,1149,448
55,2014,17616,879,407
56,2015,17635,663,644
57,2016,18124,1183,694
58,2017,19205,1474,393
59,2018,20456,1466,215
60,2019,22619,2407,244
61,2020,25612,3384,391
62,2021,28305,3541,848
63,2022,26936,0,1369
