,id,satno,cosparId,objectClass,mass,xSectAvg
0,10000,10000.0,1977-034A,Payload,559.96,10.6953951095138
1,10001,10001.0,1977-034B,Payload,559.96,10.6953951095138
2,10002,10002.0,1977-034C,Rocket Body,1486.62,14.9736159851724
3,1000,1000.0,1965-008B,Rocket Mission Related Object,1950.0,14.9736159851724
4,10010,10010.0,1977-036A,Payload,624.38,7.85398163397448
5,10011,10011.0,1977-036B,Rocket Body,1421.21,14.6461049510356
6,10013,10013.0,1977-036C,Payload Fragmentation Debris,,
7,10016,10016.0,1977-038A,Payload,346.88,2.63893782901543
8,10019,10019.0,1977-039A,Payload,693.76,5.89441321629785
9,1001,1001.0,1965-008A,Rocket Body,336.0,8.64330678818892
10,10020,10020.0,1977-039B,Rocket Body,1421.21,14.6461049510356
11,10024,10024.0,1977-041A,Payload,787.91,7.5365629662374
12,10025,10025.0,1977-041B,Rocket Body,1800.0,25.9299203645668
13,1002,1002.0,1965-008C,Payload,158.0,0.411371669411541
14,10033,10033.0,1977-044A,Payload,508.42,31.15125
15,10059,10059.0,1977-047A,Payload,1150.0,15.54
16,10061,10061.0,1977-048A,Payload,240.83,5.29751061211579
17,10062,10062.0,1977-048B,Rocket Body,346.88,7.79586216988307
18,10089,10089.0,1977-047D,Rocket Body,891.97,8.48230016469244
19,10091,10091.0,1977-053A,Payload,427.16,1.9602
20,10095,10095.0,1977-055A,Payload,817.64,
21,10096,10096.0,1977-055B,Rocket Body,1387.51,7.35132680940012
22,10114,10114.0,1977-057B,Rocket Body,1427.16,10.4143796466502
23,10120,10120.0,1977-059A,Payload,743.31,6.28318530717959
24,10121,10121.0,1977-059B,Rocket Body,1421.21,14.6461049510356
25,10136,10136.0,1970-025NQ,Rocket Fragmentation Debris,,
26,10137,10137.0,1977-062A,Payload,802.78,9.97848366596458
27,10138,10138.0,1977-062B,Rocket Body,1421.21,14.6461049510356
28,10141,10141.0,1977-064A,Payload,802.78,9.97848366596458
29,10142,10142.0,1977-064B,Rocket Body,1421.21,14.6461049510356
30,10143,10143.0,1977-065A,Payload,312.19,6.41261892450749
31,10144,10144.0,1977-065B,Rocket Body,346.88,6.04756585816035
32,10150,10150.0,1977-068A,Payload,1150.0,15.54
33,10155,10155.0,1977-054D,Rocket Body,891.97,7.27451486901985
34,10159,10159.0,1977-071A,Payload,1947.47,16.9751796364185
35,10167,10167.0,1977-068D,Rocket Body,891.97,8.48230016469244
36,10177,10177.0,1977-065F,Rocket Fragmentation Debris,,
37,10178,10178.0,1977-065G,Rocket Fragmentation Debris,,
38,10183,10183.0,1977-065M,Rocket Fragmentation Debris,,
39,10184,10184.0,1977-065N,Rocket Fragmentation Debris,,
40,10188,10188.0,1977-065S,Rocket Fragmentation Debris,,
41,10198,10198.0,1977-065AB,Rocket Fragmentation Debris,,
42,10201,10201.0,1977-065AE,Rocket Fragmentation Debris,,
43,10204,10204.0,1977-065AH,Rocket Fragmentation Debris,,
44,10206,10206.0,1977-065AK,Rocket Fragmentation Debris,,
45,10207,10207.0,1977-065AL,Rocket Fragmentation Debris,,
46,10208,10208.0,1977-065AM,Rocket Fragmentation Debris,,
47,10211,10211.0,1977-065AQ,Rocket Fragmentation Debris,,
48,10214,10214.0,1977-065AT,Rocket Fragmentation Debris,,
49,10220,10220.0,1977-065AX,Rocket Fragmentation Debris,,
50,10221,10221.0,1977-065AY,Rocket Fragmentation Debris,,
51,10227,10227.0,1977-065BE,Rocket Fragmentation Debris,,
52,10229,10229.0,1977-065BG,Rocket Fragmentation Debris,,
53,10230,10230.0,1977-065BH,Rocket Fragmentation Debris,,
54,10234,10234.0,1977-065BM,Rocket Fragmentation Debris,,
55,10240,10240.0,1977-065BR,Rocket Fragmentation Debris,,
56,10250,10250.0,1977-065CB,Rocket Fragmentation Debris,,
57,10251,10251.0,1977-065CC,Rocket Fragmentation Debris,,
58,10252,10252.0,1977-065CD,Rocket Fragmentation Debris,,
59,10261,10261.0,1977-065CN,Rocket Fragmentation Debris,,
60,10262,10262.0,1977-065CP,Rocket Fragmentation Debris,,
61,10282,10282.0,1977-079A,Payload,39.64,0.5883
62,10286,10286.0,1977-079B,Payload,39.64,0.5883
63,10287,10287.0,1977-079C,Payload,39.64,0.5883
64,10288,10288.0,1977-079D,Payload,39.64,0.5883
65,10289,10289.0,1977-079E,Payload,39.64,0.5883
66,10290,10290.0,1977-079F,Payload,39.64,0.5883
67,10291,10291.0,1977-079G,Payload,39.64,0.5883
68,10292,10292.0,1977-079H,Payload,39.64,0.5883
69,10293,10293.0,1977-079J,Rocket Body,1421.21,14.6461049510356
70,10294,10294.0,1977-080A,Payload,218.04,2.96880505764235
71,10295,10295.0,1977-080B,Rocket Body,346.88,7.79586216988307
72,10305,10305.0,1977-065DB,Rocket Fragmentation Debris,,
73,10306,10306.0,1977-065DC,Rocket Fragmentation Debris,,
74,10314,10314.0,1977-065DL,Rocket Fragmentation Debris,,
75,10338,10338.0,1977-065DM,Rocket Fragmentation Debris,,
76,10346,10346.0,1977-065DV,Rocket Fragmentation Debris,,
77,10352,10352.0,1977-087A,Payload,802.78,9.97848366596458
78,10355,10355.0,1977-087B,Rocket Body,1421.21,14.6461049510356
79,10358,10358.0,1977-088A,Payload,1250.0,6.5855636000876
80,10365,10365.0,1977-092A,Payload,1850.0,17.6219273406653
81,10392,10392.0,1974-089EH,Rocket Fragmentation Debris,,
82,10393,10393.0,1974-089EJ,Rocket Fragmentation Debris,,
83,10395,10395.0,1973-086GK,Rocket Fragmentation Debris,,
84,10410,10410.0,1976-067D,Payload Fragmentation Debris,,
85,10411,10411.0,1976-067E,Payload Fragmentation Debris,,
86,10412,10412.0,1976-067F,Payload Fragmentation Debris,,
87,10413,10413.0,1976-067G,Payload Fragmentation Debris,,
88,10414,10414.0,1976-067H,Payload Fragmentation Debris,,
89,10415,10415.0,1976-067J,Payload Fragmentation Debris,,
90,10416,10416.0,1976-067K,Payload Fragmentation Debris,,
91,10417,10417.0,1976-067L,Payload Fragmentation Debris,,
92,10436,10436.0,1976-067M,Payload Fragmentation Debris,,
93,10437,10437.0,1976-067N,Payload Fragmentation Debris,,
94,10438,10438.0,1976-067P,Payload Fragmentation Debris,,
95,10439,10439.0,1976-067Q,Payload Fragmentation Debris,,
96,10440,10440.0,1976-067R,Payload Fragmentation Debris,,
97,10441,10441.0,1976-067S,Payload Fragmentation Debris,,
98,10442,10442.0,1976-067T,Payload Fragmentation Debris,,
99,10443,10443.0,1976-067U,Payload Fragmentation Debris,,
